,time,pos-x,pos-y,pos-z,ori-x,ori-y,ori-z,ori-w
0,33:09.8,0,0,0,0,0,0,1
0,33:10.0,0,0,0,0,0,0,1
0,33:10.2,0,0,0,0,0,0,1
0,33:10.4,0,0,0,0,0,0,1
0,33:10.6,0,0,0,0,0,0,1
0,33:10.8,0,0,0,0,0,0,1
0,33:11.0,0,0,0,0,0,0,1
0,33:11.2,0,0,0,0,0,0,1
0,33:11.4,0,0,0,0,0,0,1
0,33:11.6,0,0,0,0,0,0,1
0,33:11.8,0,0,0,0,0,0,1
0,33:12.1,0,0,0,0,0,0,1
0,33:12.3,0,0,0,0,0,0,1
0,33:12.5,0,0,0,0,0,0,1
0,33:12.7,0,0,0,0,0,0,1
0,33:12.9,0,0,0,0,0,0,1
0,33:13.1,0,0,0,0,0,0,1
0,33:13.3,0,0,0,0,0,0,1
0,33:13.5,0,0,0,0,0,0,1
0,33:13.7,0,0,0,0,0,0,1
0,33:13.9,0,0,0,0,0,0,1
0,33:14.1,0,0,0,0,0,0,1
0,33:14.3,0,0,0,0,0,0,1
0,33:14.5,0,0,0,0,0,0,1
0,33:14.7,0,0,0,0,0,0,1
0,33:14.9,0,0,0,0,0,0,1
0,33:15.1,0,0,0,0,0,0,1
0,33:15.4,0,0,0,0,0,0,1
0,33:15.6,0,0,0,0,0,0,1
0,33:15.8,0,0,0,0,0,0,1
0,33:16.0,0,0,0,0,0,0,1
0,33:16.2,0,0,0,0,0,0,1
0,33:16.4,0,0,0,0,0,0,1
0,33:16.6,0,0,0,0,0,0,1
0,33:16.8,0,0,0,0,0,0,1
0,33:17.0,0,0,0,0,0,0,1
0,33:17.2,0,0,0,0,0,0,1
0,33:17.4,0,0,0,0,0,0,1
0,33:17.6,0,0,0,0,0,0,1
0,33:17.8,0,0,0,0,0,0,1
0,33:18.0,0,0,0,0,0,0,1
0,33:18.2,0,0,0,0,0,0,1
0,33:18.4,0,0,0,0,0,0,1
0,33:18.6,0,0,0,0,0,0,1
0,33:18.9,0,0,0,0,0,0,1
0,33:19.1,0,0,0,0,0,0,1
0,33:19.3,0,0,0,0,0,0,1
0,33:19.5,0,0,0,0,0,0,1
0,33:19.7,0,0,0,0,0,0,1
0,33:19.9,0,0,0,0,0,0,1
0,33:20.1,0,0,0,0,0,0,1
0,33:20.3,0,0,0,0,0,0,1
0,33:20.5,0,0,0,0,0,0,1
0,33:20.7,0,0,0,0,0,0,1
0,33:20.9,0,0,0,0,0,0,1
0,33:21.1,0,0,0,0,0,0,1
0,33:21.3,0.002826314,3.49E-05,0,0,0,-0.006171421,0.999980957
0,33:21.5,0.019784195,0.000244207,0,0,0,-0.018513324,0.999828614
0,33:21.7,0.039569897,0.000244207,0,0,0,-0.037020302,0.999314514
0,33:21.9,0.056508406,-0.000592756,0,0,0,-0.049351629,0.998781466
0,33:22.1,0.081852274,-0.002787942,0,0,0,-0.05551459,0.998457876
0,33:22.4,0.107221306,-0.004670152,0,0,0,-0.073989849,0.997258995
0,33:22.6,0.135177119,-0.008841377,0,0,0,-0.073989849,0.997258995
0,33:22.8,0.163227373,-0.012321287,0,0,0,-0.08629299,0.996269803
0,33:23.0,0.193919793,-0.017288837,0,0,0,-0.092439747,0.99571828
0,33:23.2,0.22995045,-0.024498385,0,0,0,-0.08629299,0.996269803
0,33:23.4,0.271623794,-0.032303331,0,0,0,-0.080142946,0.996783381
0,33:23.6,0.332744698,-0.043750585,0,0,0,-0.067833935,0.997696626
0,33:23.8,0.397043067,-0.053344401,0,0,0,-0.061675437,0.998096258
0,33:24.0,0.452954692,-0.061686849,0,0,0,-0.049351629,0.998781466
0,33:24.2,0.506327723,-0.067640371,0,0,0,-0.043186787,0.999067015
0,33:24.4,0.568279402,-0.073006382,0,0,0,-0.043186787,0.999067015
0,33:24.6,0.632972891,-0.079415278,0,0,0,-0.037020302,0.999314514
0,33:24.8,0.709004497,-0.086000838,0,0,0,-0.030852406,0.999523951
0,33:25.1,0.785111594,-0.091647469,0,0,0,-0.024683335,0.99969532
0,33:25.3,0.875450303,-0.09611127,0,0,0,-0.024683335,0.99969532
0,33:25.5,0.957263593,-0.101166765,0,0,0,-0.018513324,0.999828614
0,33:25.7,1.042001333,-0.104305934,0,0,0,-0.018513324,0.999828614
0,33:25.9,1.132278067,-0.109884411,0,0,0,-0.006171421,0.999980957
0,33:26.1,1.208571095,-0.111768151,0,0,0,-2.60E-18,1
0,33:26.3,1.298992462,-0.114000732,0,0,0,0.012342608,0.999923827
0,33:26.5,1.397913438,-0.112779696,0,0,0,0.018513324,0.999828614
0,33:26.7,1.493832467,-0.106852564,0,0,0,0.006171421,0.999980957
0,33:26.9,1.587079501,-0.104550215,0,0,0,-8.67E-19,1
0,33:27.1,1.671849533,-0.10664326,0,0,0,0.012342608,0.999923827
0,33:27.3,1.776423136,-0.105352451,0,0,0,0.018513324,0.999828614
0,33:27.5,1.86967017,-0.103050101,0,0,0,0.024683335,0.99969532
0,33:27.7,1.954233611,-0.096776068,0,0,0,0.012342608,0.999923827
0,33:27.9,2.033352307,-0.094822559,0,0,0,0.012342608,0.999923827
0,33:28.1,2.120968029,-0.093741071,0,0,0,0.018513324,0.999828614
0,33:28.3,2.211354952,-0.090392624,0,0,0,0.018513324,0.999828614
0,33:28.5,2.284704798,-0.085860112,0,0,0,0.006171421,0.999980957
0,33:28.7,2.360997826,-0.083976371,0,0,0,-8.67E-19,1
0,33:29.0,2.448613547,-0.082894882,0,0,0,-0.006171421,0.999980957
0,33:29.2,2.539000471,-0.086243329,0,0,0,0.006171421,0.999980957
0,33:29.4,2.620969809,-0.086243329,0,0,0,0.012342608,0.999923827
0,33:29.6,2.697233775,-0.083418077,0,0,0,0.006171421,0.999980957
0,33:29.8,2.776322333,-0.080488187,0,0,0,-0.006171421,0.999980957
0,33:30.0,2.855459114,-0.081465015,0,0,0,-0.006171421,0.999980957
0,33:30.2,2.937428452,-0.081465015,0,0,0,-0.012342608,0.999923827
0,33:30.4,3.010828653,-0.085091854,0,0,0,-1.73E-18,1
0,33:30.6,3.092791748,-0.084080139,0,0,0,-0.006171421,0.999980957
0,33:30.8,3.166275901,-0.084987194,0,0,0,-0.006171421,0.999980957
0,33:31.0,3.248220265,-0.087010471,0,0,0,-1.73E-18,1
0,33:31.2,3.318878105,-0.086138302,0,0,0,-0.006171421,0.999980957
0,33:31.4,3.386709631,-0.086975584,0,0,0,-0.006171421,0.999980957
0,33:31.6,3.457351324,-0.088719788,0,0,0,-1.73E-18,1
0,33:31.8,3.533661791,-0.087777846,0,0,0,-0.006171421,0.999980957
0,33:32.0,3.604325013,-0.087777846,0,0,0,-0.012342608,0.999923827
0,33:32.2,3.677792374,-0.089591818,0,0,0,-0.012342608,0.999923827
0,33:32.4,3.745629067,-0.089591818,0,0,0,-0.024683335,0.99969532
0,33:32.6,3.827542216,-0.092626348,0,0,0,-0.030852406,0.999523951
0,33:32.8,3.906678997,-0.093603176,0,0,0,-0.05551459,0.998457876
0,33:33.0,3.991158559,-0.100920465,0,0,0,-0.067833935,0.997696626
0,33:33.3,4.069813552,-0.109694075,0,0,0,-0.080142946,0.996783381
0,33:33.5,4.145920649,-0.115340706,0,0,0,-0.123116046,0.992392281
0,33:33.7,4.223884788,-0.128948694,0,0,0,-0.159770313,0.987154217
0,33:33.9,4.30703246,-0.145586113,0,0,0,-0.220349319,0.975421026
0,33:34.1,4.379149918,-0.170551025,0,0,0,-0.274159611,0.961684204
0,33:34.3,4.443681538,-0.199342709,0,0,0,-0.338762943,0.94087176
0,33:34.5,4.509335991,-0.24353634,0,0,0,-0.384783702,0.923006773
0,33:34.7,4.57031389,-0.293987109,0,0,0,-0.429866717,0.902892355
0,33:34.9,4.620737823,-0.347448969,0,0,0,-0.462997397,0.886359639
0,33:35.1,4.668461883,-0.403334188,0,0,0,-0.506176511,0.862429904
0,33:35.3,4.707214735,-0.459012132,0,0,0,-0.548122037,0.836398369
0,33:35.5,4.743599088,-0.526096806,0,0,0,-0.583732007,0.811946393
0,33:35.7,4.776480989,-0.604257664,0,0,0,-0.613390367,0.789779879
0,33:35.9,4.805412976,-0.686965731,0,0,0,-0.646926139,0.762552668
0,33:36.1,4.82334445,-0.769843963,0,0,0,-0.665551376,0.746352039
0,33:36.3,4.838261201,-0.867641411,0,0,0,-0.679254767,0.733902556
0,33:36.5,4.845246203,-0.957820221,0,0,0,-0.679254767,0.733902556
0,33:36.7,4.856532238,-1.056102853,0,0,0,-0.692725327,0.721201512
0,33:36.9,4.863735521,-1.149099751,0,0,0,-0.705958441,0.70825326
