,time,pos-x,pos-y,pos-z,ori-x,ori-y,ori-z,ori-w
0,2018-04-23 20:12:53.652676,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:53.866144,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:54.056036,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:54.257506,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:54.469750,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:54.666675,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:54.879405,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:55.088335,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:55.289458,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:55.489692,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:55.686519,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:55.887294,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:56.096075,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:56.309010,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:56.509813,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:56.718614,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:56.926650,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:57.128234,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:57.337353,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:57.537562,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:12:57.749091,-0.00282631359413,3.4886736946e-05,0.0,0.0,0.0,0.00617142130288,0.999980956598
