,time,pos-x,pos-y,pos-z,ori-x,ori-y,ori-z,ori-w
0,2018-04-21 17:02:06.437315,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:06.635024,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:06.830227,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:07.039201,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:07.239482,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:07.448714,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:07.661616,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:07.870263,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:08.073864,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:08.279981,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:08.480948,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:08.681489,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:08.890548,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:09.098942,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:09.300214,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:09.500160,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:09.701496,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:09.902362,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:10.110735,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:10.320495,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:10.531618,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:10.729671,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:10.942264,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:11.152511,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:11.359996,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:11.569076,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:11.769305,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-21 17:02:11.979510,0.0,0.0,0.0,0.0,0.0,0.0,1.0
