,time,pos-x,pos-y,pos-z,ori-x,ori-y,ori-z,ori-w
0,53:55.6,0,0,0,0,0,0,1
0,53:55.8,0,0,0,0,0,0,1
0,53:56.0,0,0,0,0,0,0,1
0,53:56.2,0,0,0,0,0,0,1
0,53:56.5,0,0,0,0,0,0,1
0,53:56.7,0,0,0,0,0,0,1
0,53:56.9,0,0,0,0,0,0,1
0,53:57.1,0,0,0,0,0,0,1
0,53:57.3,0,0,0,0,0,0,1
0,53:57.5,0,0,0,0,0,0,1
0,53:57.7,0,0,0,0,0,0,1
0,53:57.9,0,0,0,0,0,0,1
0,53:58.1,0,0,0,0,0,0,1
0,53:58.3,0,0,0,0,0,0,1
0,53:58.5,0,0,0,0,0,0,1
0,53:58.7,0,0,0,0,0,0,1
0,53:58.9,0,0,0,0,0,0,1
0,53:59.1,0,0,0,0,0,0,1
0,53:59.3,0,0,0,0,0,0,1
0,53:59.5,0.002826314,3.49E-05,0,0,0,-0.006171421,0.999980957
0,53:59.7,0.005652842,3.49E-05,0,0,0,-0.012342608,0.999923827
0,54:00.0,0.014131783,0.000139547,0,0,0,-0.030852406,0.999523951
0,54:00.2,0.019780966,-6.97E-05,0,0,0,-0.043186787,0.999067015
0,54:00.4,0.02825022,-0.000488212,0,0,0,-0.061675437,0.998096258
0,54:00.6,0.033875741,-0.001045508,0,0,0,-0.073989849,0.997258995
0,54:00.8,0.039485792,-0.00174149,0,0,0,-0.08629299,0.996269803
0,54:01.0,0.047887342,-0.002889247,0,0,0,-0.104722466,0.994501486
0,54:01.2,0.053443788,-0.003929907,0,0,0,-0.11698923,0.993133183
0,54:01.4,0.058972854,-0.005107401,0,0,0,-0.129238172,0.991613581
0,54:01.6,0.061713696,-0.005798088,0,0,0,-0.135355376,0.990797115
0,54:01.8,0.067195381,-0.007179463,0,0,0,-0.147574086,0.989051004
0,54:02.0,0.072641298,-0.008695723,0,0,0,-0.159770313,0.987154217
0,54:02.2,0.07804813,-0.010345944,0,0,0,-0.1719422,0.98510704
0,54:02.4,0.080741156,-0.011204359,0,0,0,-0.190150337,0.981754984
0,54:02.6,0.091122287,-0.01568324,0,0,0,-0.178018436,0.984027152
0,54:02.8,0.107006569,-0.021624885,0,0,0,-0.178018436,0.984027152
0,54:03.0,0.11230133,-0.023605434,0,0,0,-0.178018436,0.984027152
0,54:03.2,0.130746022,-0.030765554,0,0,0,-0.1719422,0.98510704
0,54:03.4,0.146555759,-0.036902801,0,0,0,-0.159770313,0.987154217
0,54:03.6,0.162512166,-0.04264794,0,0,0,-0.147574086,0.989051004
0,54:03.8,0.178732662,-0.047598604,0,0,0,-0.147574086,0.989051004
0,54:04.0,0.194826017,-0.052948136,0,0,0,-0.135355376,0.990797115
0,54:04.3,0.21116377,-0.057496916,0,0,0,-0.135355376,0.990797115
0,54:04.5,0.23294744,-0.063561956,0,0,0,-0.135355376,0.990797115
0,54:04.7,0.251798622,-0.069570861,0,0,0,-0.11698923,0.993133183
0,54:04.9,0.273655491,-0.075366572,0,0,0,-0.104722466,0.994501486
0,54:05.1,0.298468993,-0.080971985,0,0,0,-0.098582984,0.995128834
0,54:05.3,0.328709736,-0.088196846,0,0,0,-0.080142946,0.996783381
0,54:05.5,0.34820077,-0.091598843,0,0,0,-0.073989849,0.997258995
0,54:05.7,0.376045106,-0.096458839,0,0,0,-0.061675437,0.998096258
0,54:05.9,0.404000918,-0.100630063,0,0,0,-0.049351629,0.998781466
0,54:06.1,0.434901094,-0.104076839,0,0,0,-0.043186787,0.999067015
0,54:06.3,0.462992163,-0.107210271,0,0,0,-0.030852406,0.999523951
0,54:06.5,0.499558048,-0.110832691,0,0,0,-0.012342608,0.999923827
0,54:06.7,0.533466061,-0.111669908,0,0,0,-0.012342608,0.999923827
0,54:06.9,0.567374074,-0.112507126,0,0,0,-0.012342608,0.999923827
0,54:07.1,0.60125109,-0.114181052,0,0,0,-8.67E-18,1
0,54:07.3,0.629516379,-0.114181052,0,0,0,-8.67E-18,1
0,54:07.6,0.663393395,-0.115854978,0,0,0,0.024683335,0.99969532
0,54:07.8,0.688783726,-0.114286031,0,0,0,0.018513324,0.999828614
0,54:08.0,0.722699489,-0.114704672,0,0,0,0.043186787,0.999067015
0,54:08.2,0.750859343,-0.112265576,0,0,0,0.043186787,0.999067015
0,54:08.4,0.784713118,-0.110173647,0,0,0,0.05551459,0.998457876
0,54:08.6,0.812804187,-0.107040214,0,0,0,0.05551459,0.998457876
0,54:08.8,0.846596012,-0.104113299,0,0,0,0.067833935,0.997696626
0,54:09.0,0.874601179,-0.10028744,0,0,0,0.067833935,0.997696626
0,54:09.2,0.91106651,-0.095763556,0,0,0,0.073989849,0.997258995
0,54:09.4,0.939022322,-0.091592332,0,0,0,0.073989849,0.997258995
0,54:09.6,0.97816046,-0.085752618,0,0,0,0.073989849,0.997258995
0,54:09.8,1.014433318,-0.079881878,0,0,0,0.067833935,0.997696626
0,54:10.0,1.048039519,-0.075290847,0,0,0,0.067833935,0.997696626
0,54:10.2,1.090114901,-0.070070981,0,0,0,0.073989849,0.997258995
0,54:10.4,1.123528103,-0.064238986,0,0,0,0.061675437,0.998096258
0,54:10.6,1.162798459,-0.059367111,0,0,0,0.061675437,0.998096258
0,54:10.8,1.204935063,-0.054666963,0,0,0,0.067833935,0.997696626
0,54:11.0,1.238417702,-0.049247818,0,0,0,0.05551459,0.998457876
0,54:11.2,1.280493084,-0.044027952,0,0,0,0.049351629,0.998781466
0,54:11.5,1.31976344,-0.039156077,0,0,0,0.037020302,0.999314514
0,54:11.7,1.362003221,-0.035497433,0,0,0,0.030852406,0.999523951
0,54:11.9,1.404284942,-0.032360416,0,0,0,0.024683335,0.99969532
0,54:12.1,1.452244456,-0.02939685,0,0,0,0.018513324,0.999828614
0,54:12.3,1.497437918,-0.027722627,0,0,0,0.018513324,0.999828614
0,54:12.5,1.54263138,-0.026048404,0,0,0,0.018513324,0.999828614
0,54:12.7,1.58497765,-0.023955997,0,0,0,0.012342608,0.999923827
0,54:12.9,1.624536998,-0.022979243,0,0,0,0.012342608,0.999923827
0,54:13.1,1.666905868,-0.021409658,0,0,0,0.006171421,0.999980957
0,54:13.3,1.709290884,-0.020363136,0,0,0,-2.60E-17,1
0,54:13.5,1.748850232,-0.02133989,0,0,0,0.012342608,0.999923827
0,54:13.7,1.779920736,-0.020188862,0,0,0,0.006171421,0.999980957
0,54:13.9,1.819489127,-0.019700447,0,0,0,0.006171421,0.999980957
0,54:14.1,1.85340489,-0.019281807,0,0,0,0.006171421,0.999980957
0,54:14.3,1.89013857,-0.018374821,0,0,0,-2.17E-17,1
0,54:14.5,1.932533274,-0.018898122,0,0,0,0.006171421,0.999980957
0,54:14.8,1.972077553,-0.017433176,0,0,0,-0.006171421,0.999980957
0,54:15.0,2.008811233,-0.018340162,0,0,0,-2.17E-17,1
0,54:15.2,2.048382638,-0.018340162,0,0,0,-2.17E-17,1
0,54:15.4,2.0936071,-0.018340162,0,0,0,-2.17E-17,1
0,54:15.6,2.133178505,-0.018340162,0,0,0,-2.17E-17,1
0,54:15.8,2.169920582,-0.017886635,0,0,0,-0.006171421,0.999980957
0,54:16.0,2.215141599,-0.018444823,0,0,0,-0.006171421,0.999980957
0,54:16.2,2.260362617,-0.01900301,0,0,0,-0.006171421,0.999980957
0,54:16.4,2.299931007,-0.019491425,0,0,0,-0.006171421,0.999980957
0,54:16.6,2.345152024,-0.020049612,0,0,0,-0.006171421,0.999980957
0,54:16.8,2.393203016,-0.020049612,0,0,0,-0.012342608,0.999923827
0,54:17.0,2.441250347,-0.020642687,0,0,0,-0.018513324,0.999828614
0,54:17.2,2.489286698,-0.021828746,0,0,0,-0.024683335,0.99969532
0,54:17.4,2.537246212,-0.024792312,0,0,0,-0.018513324,0.999828614
0,54:17.6,2.585238652,-0.027163706,0,0,0,-0.012342608,0.999923827
0,54:17.8,2.633256705,-0.028942568,0,0,0,-0.006171421,0.999980957
0,54:18.0,2.681293056,-0.030128627,0,0,0,-2.26E-17,1
0,54:18.2,2.732170576,-0.030128627,0,0,0,-2.26E-17,1
0,54:18.4,2.77456528,-0.030651928,0,0,0,0.006171421,0.999980957
0,54:18.7,2.816950296,-0.029605406,0,0,0,-2.26E-17,1
0,54:18.9,2.864997627,-0.029012331,0,0,0,-0.006171421,0.999980957
